id,name,hos_location,birthday,social_security,height,weight,sex,infected,alive,hospital,score,id_adm,vaccinated,bloodType,dateIntroduced
1,Olga López,ICU,1111014000000,(78)687010,1.89999997615814,94.0,F,1,1,12 Octubre,26945456,1,0,AB+,975798000000
2,Eva Cortés,Floor hospital,1089583200000,(87)629825,1.70000004768372,120.0,F,1,1,La paz,997537,1,0,B+,975798000000
3,Paula Castro,Home,1044313200000,(31)708710,1.65,70.0,F,1,1,Infanta Sofía,25563136,1,0,A+,975798000000
4,Julio Rodríguez,Home,1013122800000,(73)769603,1.72,60.0,M,1,1,Puerta de hierro,14226483,1,0,A-,975798000000
5,Carla Torres,Home,1000159200000,(19)580464,2.1,92.0,F,1,0,La paz,8056748,1,0,B-,975798000000
6,Felipe Gil,ICU,951260400000,(39)473334,1.77,73.2,M,1,1,Puerta de hierro,8743810,1,0,AB+,975798000000
7,Samuel Muñoz,ICU,941929200000,(57)865772,1.87,75.8,M,1,1,Teknon de Barcelona,8576512,1,0,AB-,975798000000
8,Felix Gutiérrez,ICU,892677600000,(88)935422,1.58,50.2,M,1,1,Fundación de Alcorcón,14315701,1,0,0+,975798000000
9,Daniel Iglesias,Floor hospital,865548000000,(33)269989,1.69,55.8,M,1,0,Vall Hebrón,1008339,1,0,0-,975798000000
10,Tomás Largo Caballero,Floor hospital,822783600000,(33)350023,1.56,48.3,M,1,1,Quirón Salud Toledo,25724058,1,0,AB+,975798000000
11,Laura Cano,Floor hospital,810856800000,(38)614792,1.75,81.1,F,1,1,La paz,815120,1,0,A+,975798000000
12,Carla Jiménez,Floor hospital,773445600000,(62)197413,1.66,72.1,F,1,1,Vall Hebrón,25690936,1,0,B+,975798000000
13,Lidia Hernández,Floor hospital,753490800000,(59)218673,1.93,91.4,F,1,1,La Fe,558490,1,0,B-,975798000000
14,Emilio Alonso,Home,699058800000,(49)387934,1.59,61.2,M,1,0,Denia,25772730,1,1,0+,975798000000
15,Lucas Franco,Home,676159200000,(90)851614,1.88,83.6,M,1,1,Fundación de Alcorcón,25833396,1,0,0+,975798000000
16,Hugo Blasco,Home,633481200000,(42)546569,1.84,89.1,M,1,1,12 Octubre,14399180,1,0,0-,975798000000
17,Carolina Cano,Home,608853600000,(74)487679,1.73,78.8,F,1,1,Reina Sofía,14329909,1,0,A+,975798000000
18,Josefa Gutiérrez,Home,582415200000,(32)140832,1.65,70.3,F,1,1,La Fe,307551,1,0,A-,975798000000
19,Javier Iglesias,Home,540860400000,(74)287955,1.66,73.2,M,1,1,Quirón Salud Toledo,258661,1,0,B+,975798000000
20,Sofía Otero,Home,506732400000,(41)477423,1.98,120.0,F,1,0,Montepríncipe,149935,1,0,B-,975798000000
21,Rosa Messi,ICU,488412000000,(83)908082,1.65,67.0,F,1,1,H. de Sevilla,374562,1,0,B-,975798000000
